FID,Shape *,Evento,PC1_woe,PC2_woe,V2X_woe,X1R_woe,X3R_woe
269,Point ZM,1,-1.11444,0.616158,-0.682033,0.165285,-0.809453
271,Point ZM,1,0.496723,-0.186688,1.44251,0.165285,-0.298904
272,Point ZM,1,-1.11444,-1.03019,1.44251,0.165285,-0.298904
273,Point ZM,1,0.965277,-0.186688,-0.682033,0.165285,-0.298904
276,Point ZM,1,-1.11444,-0.159533,-0.202755,0.165285,0.543944
277,Point ZM,1,-1.11444,-0.159533,-0.202755,0.165285,0.543944
278,Point ZM,1,0.496723,-0.159533,1.20354,0.165285,0.543944
281,Point ZM,1,0.965277,-1.03019,1.20354,0.165285,0.083882
298,Point ZM,1,-0.873904,0.616158,1.20354,0.165285,0.083882
300,Point ZM,1,-0.873904,0.616158,1.20354,0.165285,0.543944
301,Point ZM,1,0.965277,-0.159533,1.20354,0.165285,0.543944
302,Point ZM,1,0.496723,-0.159533,1.20354,0.165285,0.543944
310,Point ZM,1,0.965277,0.616158,-0.202755,0.165285,0.083882
313,Point ZM,1,0.965277,-0.186688,1.20354,0.165285,0.17043
315,Point ZM,1,0.965277,0.616158,-0.682033,0.165285,-0.809453
320,Point ZM,1,-0.431997,-0.159533,1.26205,0.165285,0.083882
321,Point ZM,1,0.496723,0.616158,2.61886,0.165285,0.17043
325,Point ZM,1,0.965277,0.304827,1.20354,0.165285,0.543944
327,Point ZM,1,0.965277,0.616158,-0.682033,0.165285,0.17043
330,Point ZM,1,-0.431997,0.304827,-0.682033,0.165285,0.543944
331,Point ZM,1,-0.431997,-0.186688,-0.682033,0.165285,0.543944
336,Point ZM,1,0.496723,-0.186688,-0.657437,0.165285,0.543944
339,Point ZM,1,0.496723,0.616158,-0.202755,0.165285,0.543944
342,Point ZM,1,0.965277,0.304827,-0.202755,0.165285,0.543944
343,Point ZM,1,-0.873904,0.616158,-0.202755,0.165285,0.17043
347,Point ZM,1,0.496723,0.616158,2.61886,0.165285,0.543944
