PROCESO,x4,pc1,pc2,pc3,pc4,v1x,v2x,v3x,x1,x2,x3
0,0.0399,-0.7043,0.7187,-1.6970,-0.4878,14.0000,7.0000,14.0000,42.7600,1778.0568,14166.6943
0,0.0349,-2.3674,0.8800,-2.2991,1.9329,16.8672,17.1980,16.8672,24.1651,2910.7773,12610.1529
0,0.0581,-3.5712,0.9440,-2.3061,2.6042,19.4829,16.7310,19.4829,115.8842,3175.0997,14334.0399
0,0.0484,0.8521,0.8007,-3.0316,2.0309,14.0000,7.0000,14.0000,77.4072,3423.6907,13551.7427
0,0.0392,-0.5422,-0.0178,-1.6622,1.2220,14.0000,11.0000,14.0000,142.9522,4102.3077,11497.5385
0,0.0348,-1.3676,0.7864,-1.9645,0.5468,14.0000,11.0000,14.0000,299.3079,4465.3502,11141.3905
0,0.0376,-2.9590,0.8809,-2.0536,1.6355,16.2073,14.3110,16.2073,23.2940,3505.8650,11977.6845
0,0.0350,-2.8857,0.8665,-1.9673,1.3781,16.2076,7.0000,16.2076,65.5022,3182.5235,10793.9972
0,0.0396,-2.7150,0.8283,-1.7294,0.6858,18.1371,15.9637,18.1371,36.8465,3194.6973,9946.7681
0,0.0540,-3.2230,0.8253,-1.4876,0.3521,14.0000,69.0000,14.0000,13.7828,2742.8717,9837.5469
0,0.0347,-0.2851,0.4704,-1.6547,-0.3165,14.0000,68.0000,14.0000,28.5683,3793.3405,8886.4126
0,0.0263,-0.3635,0.3893,-0.9548,-1.1607,14.0000,11.0000,14.0000,26.5055,4807.9097,8971.7925
0,0.0384,-0.2399,0.7100,-1.8246,-0.4184,14.0000,68.0000,14.0000,92.4628,4015.0861,8372.8862
0,0.0388,-0.4743,0.4591,-1.5886,-0.2275,14.0000,68.0000,14.0000,38.5171,4163.9559,7949.9335
0,0.0445,-0.2567,0.3963,-1.1030,-0.0364,14.0000,68.0000,14.0000,32.4941,3818.5024,7423.7965
0,0.0459,-0.2408,0.5901,-1.6321,-0.2921,14.0000,68.0000,14.0000,73.2579,3374.7624,7054.2055
0,0.0395,-0.4069,-0.3012,-1.2207,0.0209,14.0000,68.0000,14.0000,204.4752,2810.3283,6616.3521
0,0.0505,-0.3254,0.1918,-1.3720,-0.0191,14.0000,68.0000,14.0000,195.9830,3279.2140,7220.8983
0,0.0427,-0.2919,0.4230,-1.4968,-0.0591,14.0000,68.0000,14.0000,306.0534,2606.7000,6596.8265
0,0.0406,-0.5191,0.7252,-1.8288,-0.2562,14.0000,68.0000,14.0000,163.1773,2544.3134,6367.7485
0,0.0429,-0.2979,0.3754,-1.3630,-0.0739,14.0000,68.0000,14.0000,99.7191,2258.3683,6011.5411
0,0.0598,-0.2208,0.0334,-1.4095,0.1177,14.0000,68.0000,14.0000,104.2329,2101.0989,6158.9844
0,0.0449,-0.9825,0.7446,-1.7889,-0.1051,18.2322,21.5606,18.2322,93.1025,2076.6129,6348.1001
0,0.0408,-0.9977,0.3596,-1.3160,0.0748,14.0000,23.0000,14.0000,129.2398,1568.1409,5791.5206
0,0.0536,-0.2490,0.7135,-1.8497,-0.3501,14.0000,68.0000,14.0000,117.7863,2267.8493,5660.2444
0,0.0544,-0.1601,0.3374,-1.2813,-0.0979,14.0000,68.0000,14.0000,6.1007,2339.4176,5631.7779
0,0.0500,-0.3831,-0.8621,-0.8341,0.2063,18.0000,68.0000,18.0000,61.8252,880.6736,5183.2897
0,0.0460,-0.5585,0.7301,-1.8521,-0.1759,16.0000,23.0000,16.0000,251.7179,505.7144,1056.5292
0,0.0342,-0.5585,0.7301,-1.8521,-0.1759,19.0000,27.0000,19.0000,103.5077,387.8864,165.2209
0,0.0984,-0.5607,0.7295,-1.8462,-0.1898,12.0000,27.0000,12.0000,449.4200,1056.0678,315.3060
0,0.0439,-0.5585,0.7301,-1.8521,-0.1759,16.0000,23.0000,16.0000,27.1270,1553.6577,737.5849
0,0.1007,-0.5585,0.7301,-1.8521,-0.1759,18.0000,28.0000,18.0000,60.2417,2525.8338,985.2486
0,0.0459,-0.3385,-1.0701,-0.7887,0.3139,19.0000,27.0000,19.0000,311.6383,1959.5329,1034.9402
0,0.0660,-0.3709,-0.4416,-1.1712,0.1393,18.0000,28.0000,18.0000,122.4757,3326.7524,2161.9514
0,0.0781,-0.5573,0.7294,-1.8470,-0.1896,18.0000,27.0000,18.0000,122.5093,4029.7973,1780.8551
0,0.1552,-0.5497,0.7285,-1.8433,-0.2029,18.0000,28.0000,18.0000,125.6275,4174.5816,369.1844
0,0.0828,-0.3841,-0.9019,-0.8504,0.2324,16.3879,28.0000,16.3879,270.4390,4589.1395,26.8683
0,0.0917,-0.3964,0.1624,-1.2083,0.0694,15.0000,28.0000,15.0000,345.3959,4067.0272,52.6138
0,0.1212,-0.5413,0.7270,-1.8344,-0.2300,12.0000,28.0000,12.0000,246.7284,4265.0700,60.9836
0,0.0970,-0.3050,-0.5164,-0.8552,0.2541,14.6659,28.0000,14.6659,4.4034,4181.0293,10.0159
0,0.0456,-0.4998,0.7265,-1.8496,-0.2132,12.0000,27.0000,12.0000,433.1124,3594.7585,1762.8058
0,0.3903,-0.4827,0.4151,-1.6656,-0.0966,12.0000,27.0000,12.0000,329.9457,790.7851,245.7526
0,0.3538,-0.5723,0.1379,-1.3448,0.0012,12.0000,27.0000,12.0000,434.1783,722.3367,175.3814
0,0.1205,-0.5643,0.7302,-1.8508,-0.1762,11.0000,27.0000,11.0000,110.3145,972.1182,6.1396
0,0.0532,-0.4873,0.6936,-1.5850,-0.8880,14.0000,44.0000,14.0000,85.5581,947.5096,4955.7307
0,0.0454,-1.3982,0.6624,-0.9406,-2.0176,15.0000,35.0000,15.0000,58.9339,589.2840,7029.4458
